X,Y,Name,Description
31.817,34.683,,"<table> <tr><td><b>src_id:</b><td>23519 <tr><td><b>Name:</b><td>EPISOPI <tr><td><b>Area:</b><td>CYPRUS <tr><td><b>Start date:</b><td>01-01-1969 <tr><td><b>End date:</b><td>31-12-1971 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=23519"">Station details</a></center>"
6.966,51.399,,"<table> <tr><td><b>src_id:</b><td>16898 <tr><td><b>Name:</b><td>ESSEN <tr><td><b>Area:</b><td>GERMANY <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=16898"">Station details</a></center>"
-58.533,-34.817,,"<table> <tr><td><b>src_id:</b><td>17910 <tr><td><b>Name:</b><td>EZEIZA AERO <tr><td><b>Area:</b><td>ARGENTINA <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17910"">Station details</a></center>"
46.95,-25.033,,"<table> <tr><td><b>src_id:</b><td>17723 <tr><td><b>Name:</b><td>FORT-DAUPHIN <tr><td><b>Area:</b><td>MADAGASCAR <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17723"">Station details</a></center>"
130.833,-3.8,,"<table> <tr><td><b>src_id:</b><td>18048 <tr><td><b>Name:</b><td>GESER <tr><td><b>Area:</b><td>MALUKU & IRIAN JAYA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=18048"">Station details</a></center>"
-5.35,36.15,,"<table> <tr><td><b>src_id:</b><td>1585 <tr><td><b>Name:</b><td>GIBRALTAR: NORTH FRONT <tr><td><b>Area:</b><td>GIBRALTAR <tr><td><b>Start date:</b><td>01-01-1951 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=1585"">Station details</a></center>"
-60.417,53.317,,"<table> <tr><td><b>src_id:</b><td>17780 <tr><td><b>Name:</b><td>GOOSE:NFLD. <tr><td><b>Area:</b><td>CANADA <tr><td><b>Start date:</b><td>01-01-1977 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17780"">Station details</a></center>"
43.267,-11.533,,"<table> <tr><td><b>src_id:</b><td>18445 <tr><td><b>Name:</b><td>HAHAYA INT. AIRPORT <tr><td><b>Area:</b><td>COMOROS <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=18445"">Station details</a></center>"
-26.65,-75.5,,"<table> <tr><td><b>src_id:</b><td>18808 <tr><td><b>Name:</b><td>HALLEY <tr><td><b>Area:</b><td>ANTARCTICA <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=18808"">Station details</a></center>"
1.68908,52.6857,,"<table> <tr><td><b>src_id:</b><td>433 <tr><td><b>Name:</b><td>HEMSBY <tr><td><b>Area:</b><td>NORFOLK <tr><td><b>Start date:</b><td>01-01-1948 <tr><td><b>End date:</b><td>02-04-2001 <tr><td><b>Postcode:</b><td>NR29 4 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=433"">Station details</a></center>"
25.183,35.333,,"<table> <tr><td><b>src_id:</b><td>17328 <tr><td><b>Name:</b><td>HERAKLION <tr><td><b>Area:</b><td>GREECE <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17328"">Station details</a></center>"
-6.09725,54.4851,,"<table> <tr><td><b>src_id:</b><td>1490 <tr><td><b>Name:</b><td>HILLSBOROUGH MET OFFICE <tr><td><b>Area:</b><td>DOWN <tr><td><b>Start date:</b><td>01-01-1979 <tr><td><b>End date:</b><td>10-11-2003 <tr><td><b>Postcode:</b><td>BT27 5 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=1490"">Station details</a></center>"
-79.6,8.917,,"<table> <tr><td><b>src_id:</b><td>17885 <tr><td><b>Name:</b><td>HOWARD AFB <tr><td><b>Area:</b><td>PANAMA <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17885"">Station details</a></center>"
-68.55,63.75,,"<table> <tr><td><b>src_id:</b><td>17790 <tr><td><b>Name:</b><td>IQALUIT (FROBISHER BAY) <tr><td><b>Area:</b><td>CANADA <tr><td><b>Start date:</b><td>01-01-1977 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17790"">Station details</a></center>"
73.1,33.617,,"<table> <tr><td><b>src_id:</b><td>19086 <tr><td><b>Name:</b><td>ISLAMABAD AIRPORT <tr><td><b>Area:</b><td>PAKISTAN <tr><td><b>Start date:</b><td>01-01-1973 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=19086"">Station details</a></center>"
140.483,-2.567,,"<table> <tr><td><b>src_id:</b><td>18875 <tr><td><b>Name:</b><td>JAYAPURA/SENTANI <tr><td><b>Area:</b><td>MALUKU & IRIAN JAYA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=18875"">Station details</a></center>"
67.133,24.9,,"<table> <tr><td><b>src_id:</b><td>17431 <tr><td><b>Name:</b><td>KARACHI AIRPORT <tr><td><b>Area:</b><td>PAKISTAN <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17431"">Station details</a></center>"
9.117,56.3,,"<table> <tr><td><b>src_id:</b><td>23555 <tr><td><b>Name:</b><td>KARUP <tr><td><b>Area:</b><td>DENMARK <tr><td><b>Start date:</b><td>01-01-1850 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=23555"">Station details</a></center>"
24.083,54.976,,"<table> <tr><td><b>src_id:</b><td>17024 <tr><td><b>Name:</b><td>KAUNAS <tr><td><b>Area:</b><td>LITHUANIA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17024"">Station details</a></center>"
114.167,22.317,,"<table> <tr><td><b>src_id:</b><td>17484 <tr><td><b>Name:</b><td>KINGS PARK <tr><td><b>Area:</b><td>HONG KONG <tr><td><b>Start date:</b><td>01-01-1992 <tr><td><b>End date:</b><td>01-04-2000 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17484"">Station details</a></center>"
-76.783,17.933,,"<table> <tr><td><b>src_id:</b><td>17881 <tr><td><b>Name:</b><td>KINGSTON/NORMAN MANLEY <tr><td><b>Area:</b><td>JAMAICA <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17881"">Station details</a></center>"
134.483,7.333,,"<table> <tr><td><b>src_id:</b><td>17930 <tr><td><b>Name:</b><td>KOROR: PALAU IS. <tr><td><b>Area:</b><td>PACIFIC ISLANDS NORTH OF EQUATOR <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17930"">Station details</a></center>"
47.983,29.217,,"<table> <tr><td><b>src_id:</b><td>17255 <tr><td><b>Name:</b><td>KUWAIT INTERNATIONAL AIRPORT <tr><td><b>Area:</b><td>KUWAIT <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17255"">Station details</a></center>"
