X,Y,Name,Description
-5.667,-15.933,,"<table> <tr><td><b>src_id:</b><td>1605 <tr><td><b>Name:</b><td>BOTTOMS WOOD: ST HELENA <tr><td><b>Area:</b><td>ST HELENA <tr><td><b>Start date:</b><td>01-01-1958 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=1605"">Station details</a></center>"
-1.59966,55.4208,,"<table> <tr><td><b>src_id:</b><td>315 <tr><td><b>Name:</b><td>BOULMER <tr><td><b>Area:</b><td>NORTHUMBERLAND <tr><td><b>Start date:</b><td>01-01-1975 <tr><td><b>End date:</b><td>Current <tr><td><b>Postcode:</b><td>NE66 3 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=315"">Station details</a></center>"
2.366,47.066,,"<table> <tr><td><b>src_id:</b><td>17133 <tr><td><b>Name:</b><td>BOURGES <tr><td><b>Area:</b><td>FRANCE <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17133"">Station details</a></center>"
101.75,57.283,,"<table> <tr><td><b>src_id:</b><td>17042 <tr><td><b>Name:</b><td>BRATSK <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17042"">Station details</a></center>"
-4.416,48.449,,"<table> <tr><td><b>src_id:</b><td>17127 <tr><td><b>Name:</b><td>BREST <tr><td><b>Area:</b><td>FRANCE <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17127"">Station details</a></center>"
17.949,40.649,,"<table> <tr><td><b>src_id:</b><td>16971 <tr><td><b>Name:</b><td>BRINDISI <tr><td><b>Area:</b><td>ITALY <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=16971"">Station details</a></center>"
-1.57649,51.758,,"<table> <tr><td><b>src_id:</b><td>605 <tr><td><b>Name:</b><td>BRIZE NORTON <tr><td><b>Area:</b><td>OXFORDSHIRE <tr><td><b>Start date:</b><td>01-01-1968 <tr><td><b>End date:</b><td>Current <tr><td><b>Postcode:</b><td>OX18 3 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=605"">Station details</a></center>"
26.133,44.5,,"<table> <tr><td><b>src_id:</b><td>17380 <tr><td><b>Name:</b><td>BUCURESTI/IMH <tr><td><b>Area:</b><td>ROMANIA <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17380"">Station details</a></center>"
19.183,47.433,,"<table> <tr><td><b>src_id:</b><td>16940 <tr><td><b>Name:</b><td>BUDAPEST/LORINC <tr><td><b>Area:</b><td>HUNGARY <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=16940"">Station details</a></center>"
100.383,5.467,,"<table> <tr><td><b>src_id:</b><td>17523 <tr><td><b>Name:</b><td>BUTTERWORTH AIR BASE <tr><td><b>Area:</b><td>MALAYSIA <tr><td><b>Start date:</b><td>01-01-1994 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17523"">Station details</a></center>"
